¿El nombre completo de Frida Kahlo es: Magdalena Carmen Frieda Kahlo?,si
¿El tiburón conocido como “Lento de Groenlandia” llegan a vivir más de 200 años?,si
¿Tripofóbia = miedo a los agujeros?,si
¿De cuántos grados qué el terremoto de México de 1985?,8.1
¿Con qué otro nombre era conocido Nelson Mandela?,Madiba
¿Rodolfo Neri Vela fue el primer Astronauta de mexicano?,si
¿El D.F. es la ciudad con más taxis en el mundo?,si
¿Qué escribió Antoine de Saint-Exupéry?,el principito
¿De qué color es la piel del oso polar?,negra
¿De dónde son los hidrocálidos?,Aguas calientes
